ICAO;NAME;ELEVEATION IN FT;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH
K3F7;JONES MEML;852;18;3379;36;3379;;;;;;;;;;;;
K3F9;MINEOLA WISENER;429;17L;3203;17R;3234;35L;3234;35R;3203;;;;;;;;
K3FK;FRANKLIN FLYING FIELD;740;3;2400;21;2400;;;;;;;;;;;;
K3FU;FAULKTON MUN;1571;13;3249;31;3249;;;;;;;;;;;;
K3G2;GRYGLA MUN-WILKENS;1177;17;3437;35;3437;;;;;;;;;;;;
K3G3;WADSWORTH MUN;974;2;3529;10;2392;20;3529;28;2392;;;;;;;;
K3G4;ASHLAND CO;1207;1;3501;19;3501;;;;;;;;;;;;
K3G5;DAWSON AAF;1265;5;4500;23;4500;;;;;;;;;;;;
K3G6;TRI-CITY;1188;17;2768;35;2768;;;;;;;;;;;;
K3G8;GEN-AIRPARK;645;9;2568;27;2568;;;;;;;;;;;;
K3G9;BUTLER FARM SHOW;1333;18;2580;36;2580;;;;;;;;;;;;
K3GM;GRAND HAVEN MEML;604;9;3752;18;2058;27;3752;36;2058;;;;;;;;
K3GV;EAST KANSAS CITY;835;5;2206;9;4507;23;2206;27;4507;;;;;;;;
K3H4;HILLSBORO MUN;906;16;3301;34;3301;;;;;;;;;;;;
K3H5;ERIE;600;18;2000;36;2000;;;;;;;;;;;;
K3HO;HOBART-SKY RANCH;644;18;3125;36;3125;;;;;;;;;;;;
K3I2;MASON CO;643;7;4000;25;4000;;;;;;;;;;;;
K3I3;SKY KING;496;8;3557;18;1978;26;3557;36;1978;;;;;;;;
K3I4;RICHWOOD MUN;2486;10;3360;28;3360;;;;;;;;;;;;
K3I7;DAYTON-PHILLIPSBURG;1028;3;3000;21;3000;;;;;;;;;;;;
K3J0;HAMPTON CO;113;11;3580;29;3580;;;;;;;;;;;;
K3J1;RIDGELAND-DEAN;79;3;2692;21;2692;;;;;;;;;;;;
K3J6;DAVIS;68;18;2500;36;2500;;;;;;;;;;;;
K3J7;GREENE CO REGL;689;7;5500;25;5500;;;;;;;;;;;;
K3JC;FREEMAN;1102;5;1834;13;1903;18;3498;23;1834;31;1903;36;3498;;;;
K3K3;SYRACUSE-HAMILTON CO MUN;3326;13;3000;18;4600;31;3000;36;4600;;;;;;;;
K3K6;ST LOUIS METRO-EAST/SHAFER;477;13;2662;31;2662;;;;;;;;;;;;
K3K7;HOARD MEML;3304;8;2215;17;4351;26;2215;35;4351;;;;;;;;
K3K8;COMANCHE CO;2086;17;4500;35;4500;;;;;;;;;;;;
K3KK;KANKAKEE;625;9;2644;18;2564;27;2644;36;2564;;;;;;;;
K3L2;SKY RANCH;2599;3;3340;12;3300;21;3340;30;3300;;;;;;;;
K3L7;MILWRICK FLYING M;830;9;2200;27;2200;;;;;;;;;;;;
K3LF;LITCHFIELD MUN;691;9;3900;18;4002;27;3900;36;4002;;;;;;;;
K3M0;GASTON;479;6;3200;24;3200;;;;;;;;;;;;
K3M2;DOUBLE SPRINGS-WINSTON CO;754;3;3331;21;3331;;;;;;;;;;;;
K3M5;MOONTOWN;655;9;2180;27;2180;;;;;;;;;;;;
K3M7;LAFAYETTE MUN;969;1;5200;19;5200;;;;;;;;;;;;
K3M8;NORTH PICKENS;237;1;5144;19;5144;;;;;;;;;;;;
K3M9;WARREN MUN;235;3;3829;21;3829;;;;;;;;;;;;
K3MY;MT HAWLEY AUX;793;18;4001;36;4001;;;;;;;;;;;;
K3N6;OLD BRIDGE;87;6;3594;24;3594;;;;;;;;;;;;
K3N8;MAHNOMEN CO;1246;9;2720;17;3400;27;2720;35;3400;;;;;;;;
K3NO;NORTH OMAHA;1324;17;3173;35;3173;;;;;;;;;;;;
K3NP;NAPOLEON;963;9;2740;15;2500;27;2740;33;2500;;;;;;;;
K3O1;GUSTINE;79;18;3207;36;3207;;;;;;;;;;;;
K3O3;PURCELL MUN-SHEPHARD;1143;17;3003;35;3003;;;;;;;;;;;;
K3O4;SAYRE MUN;1937;17;4276;35;4276;;;;;;;;;;;;
K3O5;WALTERS MUN;1058;16;2900;34;2900;;;;;;;;;;;;
K3O8;HARRIS RANCH;470;14;2820;32;2820;;;;;;;;;;;;
K3O9;GRAND LAKE REGL;792;17;3925;35;3925;;;;;;;;;;;;
K3P3;MOTT MUN;2413;10;4000;28;4000;;;;;;;;;;;;
K3Q0;MINA;4557;13;4600;31;4600;;;;;;;;;;;;
K3R2;LE GROS MEML;14;4;4304;13;4003;22;4304;31;4003;;;;;;;;
K3R4;HART;319;12;4402;30;4402;;;;;;;;;;;;
K3R7;JENNINGS;23;8;5002;13;3601;17;1977;26;5002;31;3601;35;1977;;;;
K3R8;SCOTTSBURG;600;2;2844;20;2844;;;;;;;;;;;;
K3R9;LAKEWAY;909;16;3930;34;3930;;;;;;;;;;;;
K3RC;ROSCOMMON CONSERVATION;1157;9;3552;18;2183;27;3552;36;2183;;;;;;;;
K3S2;SWANS;418;12;1808;30;1808;;;;;;;;;;;;
K3S4;ILLINOIS VALLEY;1394;18;4807;36;4807;;;;;;;;;;;;
K3S5;SCHIFFER ACRES;735;7;2777;25;2777;;;;;;;;;;;;
K3S6;TOKETEE STATE;3361;11;5350;29;5350;;;;;;;;;;;;
K3S7;NEHALEM BAY STATE;30;15;2350;33;2350;;;;;;;;;;;;
K3S8;GRANTS PASS;1130;13;4001;31;4001;;;;;;;;;;;;
K3S9;CONDON STATE PAULING;2911;7;3500;25;3500;;;;;;;;;;;;
K3T0;CEDAR MILLS;640;7;3000;25;3000;;;;;;;;;;;;
K3T2;WOLFE;55;2;2910;20;2910;;;;;;;;;;;;
K3T3;BOYCEVILLE MUN;967;8;3299;26;3299;;;;;;;;;;;;
K3T5;FAYETTE REGL AIR CENTER;324;16;5000;34;5000;;;;;;;;;;;;
K3T7;MIDDLE BASS ISLAND;564;10;1852;28;1852;;;;;;;;;;;;
K3T8;WILDCAT CANYON;660;15;2450;33;2450;;;;;;;;;;;;
K3T9;BIG RANCH STATE PARK;4250;8;5500;26;5500;;;;;;;;;;;;
K3TA;STAFFORD MUN;1886;3;1580;13;1900;17;2560;21;1580;31;1900;35;2560;;;;
K3TE;MEYERS;815;9;1820;18;2649;27;1820;36;2649;;;;;;;;
K3TR;TYLER MEML;750;4;3316;15;4100;22;3316;33;4100;;;;;;;;
K3U0;MURPHY HOT SPRINGS;5829;1;5250;19;5250;;;;;;;;;;;;
K3U1;WARREN USFS;5902;12;2765;30;2765;;;;;;;;;;;;
K3U2;JOHNSON CREEK;4960;17;3400;35;3400;;;;;;;;;;;;
K3U3;BOWMAN;5034;4;4074;17;6010;22;4074;35;6010;;;;;;;;
K3U4;ST LABRE MISSION;2909;13;3830;31;3830;;;;;;;;;;;;
K3U5;AUGUSTA;4145;1;3650;19;3650;;;;;;;;;;;;
K3U7;BENCHMARK;5434;12;6000;30;6000;;;;;;;;;;;;
K3U8;BIG SANDY;2699;6;3570;13;2100;24;3570;31;2100;;;;;;;;
K3U9;BOULDER;4968;11;3675;29;3675;;;;;;;;;;;;
K3V0;CUSTER STATE PARK;3980;15;4000;33;4000;;;;;;;;;;;;
K3VS;OTTEN MEML;1027;7;2805;25;2805;;;;;;;;;;;;
K3W2;PUT-IN-BAY;595;3;2870;21;2870;;;;;;;;;;;;
K3W3;KENTMORR;10;10;2400;28;2400;;;;;;;;;;;;
K3W5;MEARS;267;7;2609;25;2609;;;;;;;;;;;;
K3W6;BLADENBORO;116;2;2850;20;2850;;;;;;;;;;;;
K3W7;GRAND COULEE DAM;1593;4;4203;22;4203;;;;;;;;;;;;
K3W8;EUREKA MUN;1935;7;1821;12;3100;25;1821;30;3100;;;;;;;;
K3W9;MIDDLE BASS-EAST POINT;582;9;2085;27;2085;;;;;;;;;;;;
K3X5;NORTH BASS ISLAND;594;1;1804;19;1804;;;;;;;;;;;;
K3Y2;SCOTT MUN;1232;17;4149;35;4149;;;;;;;;;;;;
K3Y3;WINTERSET-MUN;1116;14;3002;32;3002;;;;;;;;;;;;
K3Y4;WOODBINE MUN;1068;17;2045;35;2045;;;;;;;;;;;;
K3Y7;ISABEL MUN;2398;13;3009;31;3009;;;;;;;;;;;;
K40C;WATERVLIET;656;2;2600;7;1975;20;2600;25;1975;;;;;;;;
K40D;THREE LAKES MUN;1636;3;3400;21;3400;;;;;;;;;;;;
K40G;VALLE;5999;1;4199;19;4199;;;;;;;;;;;;
K40I;STEWART;955;8;3142;26;3142;;;;;;;;;;;;
K40J;PERRY-FOLEY;44;12;4754;18;4986;30;4754;36;4986;;;;;;;;
K40U;MANILA;6179;7;5300;25;5300;;;;;;;;;;;;
K41A;REEVES;326;13;3207;31;3207;;;;;;;;;;;;
K41C;CALKINS;740;1;2200;9;1800;19;2200;27;1800;;;;;;;;
K41F;FLOYDADA MUN;3187;17;4600;35;4600;;;;;;;;;;;;
K41G;UNIVERSITY;856;8;1988;26;1988;;;;;;;;;;;;
K41N;BRACEVILLE AIRPORT;900;1;3000;19;3000;;;;;;;;;;;;
K41U;MANTI-EPHRAIM;5516;3;5021;21;5021;;;;;;;;;;;;
K42A;MELBOURNE MUN - MILLER;735;3;4003;21;4003;;;;;;;;;;;;
K42B;GOODSPEED;9;14;2120;16;4500;32;2120;34;4500;;;;;;;;
K42C;WHITE CLOUD;914;18;2916;36;2916;;;;;;;;;;;;
K42I;PARR;790;10;3100;28;3100;;;;;;;;;;;;
K42J;KEYSTONE;196;5;5046;11;4899;23;5046;29;4899;;;;;;;;
K42M;THAYER MEML;808;9;3885;27;3885;;;;;;;;;;;;
K42U;MORGAN CO;5020;3;3904;21;3904;;;;;;;;;;;;
K42V;JONES;3126;15;3500;33;3500;;;;;;;;;;;;
K43A;MONTGOMERY CO;632;3;4002;21;4002;;;;;;;;;;;;
K43B;DEBLOIS;216;15;4500;33;4500;;;;;;;;;;;;
K43D;ODESSA MUN;1738;2;3124;20;3124;;;;;;;;;;;;
K43G;BELLEVILLE;696;15;2253;18;2157;33;2253;36;2157;;;;;;;;
K43K;MARION MUN;1390;3;2745;13;2722;17;2573;18;2310;21;2745;31;2722;35;2573;36;2310
K43Y;NORTHOME MUN;1430;2;2201;12;3199;20;2201;30;3199;;;;;;;;
K44A;ROLLE;163;17;2800;35;2800;;;;;;;;;;;;
K44B;CHASE JR MEML;520;9;2926;27;2926;;;;;;;;;;;;
K44C;BELOIT;817;7;3300;25;3300;;;;;;;;;;;;
K44G;BETZ;691;9;2602;27;2602;;;;;;;;;;;;
K44M;TENKILLER LAKE AIRPARK;877;5;2600;23;2600;;;;;;;;;;;;
K44N;SKY ACRES;698;17;3830;35;3830;;;;;;;;;;;;
K44T;HOSKINS;213;7;2015;25;2015;;;;;;;;;;;;
K44U;SALINA-GUNNISON;5159;2;3855;20;3855;;;;;;;;;;;;
K45G;BRIGHTON;973;4;3120;22;3120;;;;;;;;;;;;
K45K;MINNEAPOLIS CITY CO;1246;16;3970;34;3970;;;;;;;;;;;;
K45R;HAWTHORNE;71;13;4303;31;4303;;;;;;;;;;;;
K45S;SILVER LAKE F S STRIP;4492;3;3000;21;3000;;;;;;;;;;;;
K46D;CARRINGTON MUN;1607;13;4198;31;4198;;;;;;;;;;;;
K46N;SKY PARK;323;1;2664;19;2664;;;;;;;;;;;;
K46U;ALPINE;5637;13;5827;31;5827;;;;;;;;;;;;
K47K;MOUNDRIDGE MUN;1489;17;3405;35;3405;;;;;;;;;;;;
K47N;CENTRAL JERSEY REGL;86;7;3507;25;3507;;;;;;;;;;;;
K47V;CURTIS MUN;2677;12;3402;17;2200;30;3402;35;2200;;;;;;;;
K47Y;PELICAN RAPIDS MUN-LYONS;1389;15;3260;33;3260;;;;;;;;;;;;
K48A;COCHRAN;377;5;3202;11;4401;23;3202;29;4401;;;;;;;;
K48D;CLARE MUN;856;4;3500;9;2499;22;3500;27;2499;;;;;;;;
K48G;GAVAGAN;800;14;1986;32;1986;;;;;;;;;;;;
K48I;BRAXTON CO;1276;2;3995;20;3995;;;;;;;;;;;;
K48K;NESS CITY MUN;2308;17;3156;35;3156;;;;;;;;;;;;
K48S;HARLEM;2643;11;4100;15;1933;29;4100;33;1933;;;;;;;;
K48U;GTR GREEN RIVER INTER GALACTIC;7182;4;5800;22;5800;;;;;;;;;;;;
K48X;AIRPORT MANATEE;27;7;3120;25;3120;;;;;;;;;;;;
K48Y;PINEY PINECREEK BORDER;1082;15;3297;33;3297;;;;;;;;;;;;
K49A;GILMER CO;1486;3;3507;21;3507;;;;;;;;;;;;
K49B;STURGIS MUN;3255;5;3580;11;5100;23;3580;29;5100;;;;;;;;
K49C;CAMP LAKE;755;18;2250;36;2250;;;;;;;;;;;;
K49F;RANKIN;2543;17;3000;35;3000;;;;;;;;;;;;
K49G;WEND VALLEY;859;18;1800;36;1800;;;;;;;;;;;;
K49K;NORWICH;1494;17;3230;35;3230;;;;;;;;;;;;
K49R;REAL CO;1640;15;3975;33;3975;;;;;;;;;;;;
K49S;BABB;4518;14;3860;32;3860;;;;;;;;;;;;
K49U;SHOSHONI MUN;4818;8;4650;11;2950;26;4650;29;2950;;;;;;;;
K49X;CHEMEHUEVI VALLEY;638;16;5000;34;5000;;;;;;;;;;;;
K4A4;POLK COUNTY AIRPORT-CORNELIUS;974;10;4006;28;4006;;;;;;;;;;;;
K4A5;SEARCY CO;964;5;4003;23;4003;;;;;;;;;;;;
K4A6;SCOTTSBORO MUNI-WORD;650;4;5240;22;5240;;;;;;;;;;;;
K4A9;ISBELL;877;4;5001;22;5001;;;;;;;;;;;;
K4B0;SOUTH ALBANY;196;1;2853;19;2853;;;;;;;;;;;;
K4B1;DUANESBURG;714;10;2600;28;2600;;;;;;;;;;;;
K4B6;TICONDEROGA MUN;274;2;4041;20;4041;;;;;;;;;;;;
K4B7;SCHROON LAKE;834;16;3000;34;3000;;;;;;;;;;;;
K4B8;ROBERTSON;202;2;3665;20;3665;;;;;;;;;;;;
K4B9;SIMSBURY;195;3;2205;21;2205;;;;;;;;;;;;
K4C2;WALKER-WATERLOO;900;9;2340;27;2340;;;;;;;;;;;;
K4C4;GIFFORD;1017;4;2423;22;2423;;;;;;;;;;;;
K4C7;ACKLEY MUN;1070;15;2725;33;2725;;;;;;;;;;;;
K4C8;ALBIA MUN;964;13;3398;31;3398;;;;;;;;;;;;
K4D0;ABRAMS MUN;841;9;3199;18;2559;27;3199;36;2559;;;;;;;;
K4D1;THREE CASTLES;921;10;2740;28;2740;;;;;;;;;;;;
K4D8;FULLER;1439;9;2873;18;1990;27;2873;36;1990;;;;;;;;
K4D9;ALMA MUN;2073;17;3200;35;3200;;;;;;;;;;;;
K4E7;ELLENDALE MUN;1457;13;3499;17;2437;31;3499;35;2437;;;;;;;;
K4E8;RICHARDTON;2498;11;3822;29;3822;;;;;;;;;;;;
K4F1;WESTPORT;901;3;2900;21;2900;;;;;;;;;;;;
K4F2;PANOLA CO-SHARPE;248;17;4000;35;4000;;;;;;;;;;;;
K4F7;KIZER;319;18;3464;36;3464;;;;;;;;;;;;
K4F8;WILSON;230;2;3000;20;3000;;;;;;;;;;;;
K4F9;LA MOURE ROTT MUN;1310;16;3400;34;3400;;;;;;;;;;;;
K4G0;PITTSBURGH-MONROEVILLE;1187;5;2280;23;2280;;;;;;;;;;;;
K4G1;GREENVILLE MUN;1206;5;2551;15;3006;23;2551;33;3006;;;;;;;;
K4G2;HAMBURG INC;751;1;2465;19;2465;;;;;;;;;;;;
K4G3;MILLER;1071;9;2912;27;2912;;;;;;;;;;;;
K4G4;YOUNGSTOWN ELSER METRO;1070;10;4012;28;4012;;;;;;;;;;;;
K4G5;MONROE CO;1197;7;3805;25;3805;;;;;;;;;;;;
K4G7;FAIRMONT MUN-FRANKMAN;1032;5;2965;23;2965;;;;;;;;;;;;
K4G8;COLUMBIA;813;18;3152;36;3152;;;;;;;;;;;;
K4I0;MINGO CO;1575;6;3515;24;3515;;;;;;;;;;;;
K4I3;KNOX CO;1191;10;5498;28;5498;;;;;;;;;;;;
K4I9;MORROW CO;1086;10;3497;28;3497;;;;;;;;;;;;
K4J1;BRANTLEY CO;85;1;4000;19;4000;;;;;;;;;;;;
K4J2;BERRIEN CO;240;10;5002;28;5002;;;;;;;;;;;;
K4J5;QUITMAN-BROOKS CO;185;10;5000;28;5000;;;;;;;;;;;;
K4J8;TREUTLEN CO;345;16;3000;34;3000;;;;;;;;;;;;
K4K3;LEXINGTON MUN;691;4;2925;13;3100;18;2250;22;2925;31;3100;36;2250;;;;
K4K6;BLOOMFIELD MUN;888;18;3401;36;3401;;;;;;;;;;;;
K4M1;CARROLL CO;1206;7;3554;25;3554;;;;;;;;;;;;
K4M2;BOONEVILLE MUN;468;9;3250;27;3250;;;;;;;;;;;;
K4M3;CARLISLE MUN;241;9;4501;18;4494;27;4501;36;4494;;;;;;;;
K4M5;DERMOTT MUN;135;1;2980;19;2980;;;;;;;;;;;;
K4M7;RUSSELLVILLE-LOGAN CO;692;7;4500;25;4500;;;;;;;;;;;;
K4M8;CLARENDON MUN;217;18;3200;36;3200;;;;;;;;;;;;
K4M9;CORNING MUN;293;18;4299;36;4299;;;;;;;;;;;;
K4N0;NEWMANS;840;18;2697;36;2697;;;;;;;;;;;;
K4N1;GREENWOOD LAKE;790;6;3471;24;3471;;;;;;;;;;;;
K4N2;MIDDLESEX VALLEY;770;3;2130;21;2130;;;;;;;;;;;;
K4N4;LIDGERWOOD MUN;1081;17;2220;35;2220;;;;;;;;;;;;
K4N7;GREENE;935;7;2665;25;2665;;;;;;;;;;;;
K4O1;SNYDER;1325;17;2125;35;2125;;;;;;;;;;;;
K4O4;MC CURTAIN CO REGL;472;2;5002;20;5002;;;;;;;;;;;;
K4O5;CHEROKEE MUN;1179;17;3770;35;3770;;;;;;;;;;;;
K4O7;DECKER;1330;3;2215;21;2215;;;;;;;;;;;;
K4P3;FLANDREAU MUN;1645;10;3100;28;3100;;;;;;;;;;;;
K4R1;BASS MEML;310;14;3000;32;3000;;;;;;;;;;;;
K4R3;JACKSON MUN;62;1;5003;19;5003;;;;;;;;;;;;
K4R5;MAJOR GILBERT FIELD;649;4;3000;22;3000;;;;;;;;;;;;
K4R6;MILNOR MUN;1091;8;2210;26;2210;;;;;;;;;;;;
K4R7;EUNICE;42;16;5001;34;5001;;;;;;;;;;;;
K4R9;DENTON;5;12;3000;30;3000;;;;;;;;;;;;
K4S1;GOLD BEACH MUN;21;16;3200;34;3200;;;;;;;;;;;;
K4S2;JERNSTEDT;638;7;3040;25;3040;;;;;;;;;;;;
K4S4;SKYPORT;174;16;2000;34;2000;;;;;;;;;;;;
K4S5;ST THOMAS MUN;839;17;2600;35;2600;;;;;;;;;;;;
K4S6;TIETON STATE;2964;2;2509;20;2509;;;;;;;;;;;;
K4S7;MALIN;4053;14;2800;16;1800;32;2800;34;1800;;;;;;;;
K4S9;MULINO STATE;260;14;3425;32;3425;;;;;;;;;;;;
K4T2;COPELAND;693;17;5943;35;5943;;;;;;;;;;;;
K4U4;HEBBELMAN;2589;4;3650;11;2254;22;3650;29;2254;;;;;;;;
K4U6;CIRCLE TOWN CO;2441;3;2280;12;4100;21;2280;30;4100;;;;;;;;
K4U7;WEST FORK LODGE;4249;2;2600;20;2600;;;;;;;;;;;;
K4U9;DELL;6007;14;7000;32;7000;;;;;;;;;;;;
K4V0;RANGELY;5278;6;6409;24;6409;;;;;;;;;;;;
K4V1;SPANISH PEAKS;6056;2;2275;9;4504;20;2275;27;4504;;;;;;;;
K4V4;NORTHWOOD MUN-VINCE;1119;8;3160;26;3160;;;;;;;;;;;;
K4V6;HAY SPRINGS MUN;3831;11;2750;29;2750;;;;;;;;;;;;
K4V8;DEERFIELD VALLEY REGL;1953;1;2650;19;2650;;;;;;;;;;;;
K4V9;ANTELOPE CO;1774;1;3700;13;3310;19;3700;31;3310;;;;;;;;
K4W0;BANDERA STATE;1636;8;2344;26;2344;;;;;;;;;;;;
K4W4;WHITFIELD FARMS;653;3;1950;21;1950;;;;;;;;;;;;
K4W7;HURDLE;682;3;2200;21;2200;;;;;;;;;;;;
K4W8;ELMA MUN;35;7;2280;25;2280;;;;;;;;;;;;
K4X4;WESSINGTON SPRINGS;1545;12;3600;30;3600;;;;;;;;;;;;
K4Y1;RAETHER;982;17;2206;35;2206;;;;;;;;;;;;
K4Y4;LAKES OF THE NORTH;1287;6;4212;24;4212;;;;;;;;;;;;
K4Y8;PARA;800;6;2500;24;2500;;;;;;;;;;;;
K4Y9;EAGLES LANDING;1010;8;2400;26;2400;;;;;;;;;;;;
K50D;IRON CO;1340;2;2700;12;3690;20;2700;30;3690;;;;;;;;
K50F;BOURLAND;873;17;4049;35;4049;;;;;;;;;;;;
K50G;NIXON MEML;644;9;2800;18;2582;27;2800;36;2582;;;;;;;;
K50I;KENTLAND MUN;699;9;4004;27;4004;;;;;;;;;;;;
K50K;PAWNEE CITY MUN;1260;14;3375;32;3375;;;;;;;;;;;;
K50M;PUCKETT;780;14;2200;32;2200;;;;;;;;;;;;
K50R;LOCKHART MUN;532;18;4001;36;4001;;;;;;;;;;;;
K50S;PARMA;2228;12;2700;30;2700;;;;;;;;;;;;
K51A;HAWKINSVILLE-PULASKI CO;270;10;3000;28;3000;;;;;;;;;;;;
K51D;EDGELEY MUN;1604;9;2800;14;3600;27;2800;32;3600;;;;;;;;
K51G;ALKAY;722;3;1933;14;1895;18;1840;21;1933;32;1895;36;1840;;;;
K51J;LAKE CITY MUN EVANS;80;1;3700;19;3700;;;;;;;;;;;;
K51K;CEDAR;1024;17;2440;35;2440;;;;;;;;;;;;
K51M;OSCODA CO KAUFFMAN MEML;1033;10;3000;28;3000;;;;;;;;;;;;
K51R;MADISONVILLE MUN;287;18;3202;36;3202;;;;;;;;;;;;
K52A;MADISON MUN;694;14;3806;32;3806;;;;;;;;;;;;
K52F;NORTHWEST REGL;643;17;3500;35;3500;;;;;;;;;;;;
K52I;GROSS;615;9;2565;27;2565;;;;;;;;;;;;
K52J;LEE COUNTY-BUTTERS FIELD;211;6;3200;24;3200;;;;;;;;;;;;
K52K;GRUTZMACHER MUN;1183;18;2200;36;2200;;;;;;;;;;;;
K52S;ST IGNATIUS;3006;8;2610;26;2610;;;;;;;;;;;;
K52U;WEATHERBY USFS;4503;3;2200;21;2200;;;;;;;;;;;;
K52Y;REMER MUN;1350;13;2765;31;2765;;;;;;;;;;;;
K53A;SAVAGE;337;18;4220;36;4220;;;;;;;;;;;;
K53K;OSAGE CITY MUN;1105;17;2560;35;2560;;;;;;;;;;;;
K53M;SILVER CITY;680;8;2400;26;2400;;;;;;;;;;;;
K53U;FERNDALE;3072;15;3500;33;3500;;;;;;;;;;;;
K53W;WOODRUFF LAKE;940;9;3700;27;3700;;;;;;;;;;;;
K54J;DEFUNIAK SPRINGS;289;9;4146;18;2700;27;4146;36;2700;;;;;;;;
K54M;WOLF RIVER;310;18;3106;36;3106;;;;;;;;;;;;
K54T;RWJ AIRPARK;33;8;5035;14;3532;26;5035;32;3532;;;;;;;;
K55G;ARNOLD;784;18;2570;36;2570;;;;;;;;;;;;
K55H;ATLANTA;5500;16;2460;34;2460;;;;;;;;;;;;
K55I;SLATE RUN;1001;16;1730;34;1730;;;;;;;;;;;;
K55K;OXFORD MUN;1194;17;3380;35;3380;;;;;;;;;;;;
K55M;STAR CITY MUN;398;18;3000;36;3000;;;;;;;;;;;;
K55S;PACKWOOD;1057;1;2356;19;2356;;;;;;;;;;;;
K55T;EAGLES;3475;17;5000;35;5000;;;;;;;;;;;;
K55Y;RUSHFORD MUN -BUNKE;1211;16;3200;34;3200;;;;;;;;;;;;
K56D;WYANDOT CO;830;18;3997;36;3997;;;;;;;;;;;;
K56F;FISHER CO;1941;7;2800;16;3300;25;2800;34;3300;;;;;;;;
K56M;MILLSTREAM AIRPARK;752;13;3000;31;3000;;;;;;;;;;;;
K56S;SEASIDE MUN;12;16;2211;34;2211;;;;;;;;;;;;
K57B;ISLESBORO;88;1;2400;19;2400;;;;;;;;;;;;
K57C;EAST TROY MUN;860;8;3900;18;2446;26;3900;36;2446;;;;;;;;
K57D;RAY COMMUNITY;632;9;2495;18;2202;27;2495;36;2202;;;;;;;;
K57S;TROY;2017;14;3570;32;3570;;;;;;;;;;;;
K58C;JANA;842;18;2305;36;2305;;;;;;;;;;;;
K58F;LANE;700;17;3340;35;3340;;;;;;;;;;;;
K58J;HUGGINS MEML;143;14;3090;32;3090;;;;;;;;;;;;
K58M;CLAREMONT;106;13;2989;31;2989;;;;;;;;;;;;
K58N;REIGLE;489;13;1955;31;1955;;;;;;;;;;;;
K58S;WHITEFISH;3066;11;2560;29;2560;;;;;;;;;;;;
K58T;HERITAGE CREEK AIRSTRIP;883;13;3000;31;3000;;;;;;;;;;;;
K59B;NEWTON;1178;13;2898;31;2898;;;;;;;;;;;;
K59M;TORCHPORT;640;4;2402;9;3300;22;2402;27;3300;;;;;;;;
K5A1;NORWALK-HURON CO;853;10;4208;28;4208;;;;;;;;;;;;
K5A2;WARNER ROBINS;409;9;2833;27;2833;;;;;;;;;;;;
K5A4;OKOLONA MUN-STOVALL;337;18;3197;36;3197;;;;;;;;;;;;
K5A6;WINONA-MONTGOMERY CO;364;3;4000;21;4000;;;;;;;;;;;;
K5A9;ROOSEVELT MEML;882;18;5004;36;5004;;;;;;;;;;;;
K5B1;BOYLAN STATE;1194;14;2650;32;2650;;;;;;;;;;;;
K5B2;SARATOGA CO;434;5;4699;14;4000;23;4699;32;4000;;;;;;;;
K5B4;BOWBELLS MUN;1955;8;2900;26;2900;;;;;;;;;;;;
K5B5;NAPOLEON MUN;1985;8;2500;12;3220;26;2500;30;3220;;;;;;;;
K5B6;FALMOUTH;41;7;2298;25;2298;;;;;;;;;;;;
K5B7;RENSSELAER CO;440;18;2670;36;2670;;;;;;;;;;;;
K5B9;DEAN MEML;582;1;2511;19;2511;;;;;;;;;;;;
K5C1;BOERNE STAGE;1384;17;5006;35;5006;;;;;;;;;;;;
K5C3;NARY NATL-SHEFLAND;1389;17;3850;35;3850;;;;;;;;;;;;
K5C8;WASHBURN MUN;1908;8;3700;17;2225;26;3700;35;2225;;;;;;;;
K5D2;NORTHWOOD MUN;1226;17;3300;35;3300;;;;;;;;;;;;
K5D5;WOOLSEY MEML;628;9;3663;16;2670;27;3663;34;2670;;;;;;;;
K5D6;PARSONS;1290;9;2530;27;2530;;;;;;;;;;;;
K5D9;BANDIT;805;18;2576;36;2576;;;;;;;;;;;;
K5E9;PACKER;918;9;3470;27;3470;;;;;;;;;;;;
K5F0;ARCADIA-BIENVILLE PARISH;440;14;3000;32;3000;;;;;;;;;;;;
K5F1;POST-GARZA CO MUN;2545;6;2210;17;4200;24;2210;35;4200;;;;;;;;
K5F4;HOMER MUN;244;12;3199;30;3199;;;;;;;;;;;;
K5F5;BLUEBIRD HILL;180;18;3000;36;3000;;;;;;;;;;;;
K5G0;LE ROY;780;10;3854;28;3854;;;;;;;;;;;;
K5G4;EAU CLAIRE LAKES;1214;18;2290;36;2290;;;;;;;;;;;;
K5G7;BLUFFTON;851;5;4126;23;4126;;;;;;;;;;;;
K5G8;GREENSBURG JEANNETTE REGL;1174;2;2605;20;2605;;;;;;;;;;;;
K5H3;CLEAR LAKE MUN;1801;2;2130;13;3000;20;2130;31;3000;;;;;;;;
K5H4;HARVEY MUN;1607;11;3600;29;3600;;;;;;;;;;;;
K5I2;FLORA MUN;710;9;2143;27;2143;;;;;;;;;;;;
K5I4;SHERIDAN;936;5;3760;9;3590;23;3760;27;3590;;;;;;;;
K5I6;GALVESTON;786;18;2720;36;2720;;;;;;;;;;;;
K5J5;HOLLY HILL;96;4;2900;22;2900;;;;;;;;;;;;
